id,name,display_desc,category,location,img,name_short,category_corrected
4333,Chicken Breast Nuggets & Fish Combo - Peanut/Tree Nut Allergy-friendly,served with Hush Puppies and choice of Side,Entree,ABC Commissary,fried_Chicken-and-Fish.png,Chicken Nuggets & Fish,
4334,Trio Platter - Peanut/Tree Nut Allergy-friendly,"a combination of Fried Shrimp, Breaded Chicken Breast Nuggets and Battered Fish with Hush Puppies and choice of Side",Entree,ABC Commissary,fried_seafood_platter_fish_shrimp.png,Trio Platter,
4335,Shrimp & Fish Combo - Peanut/Tree Nut Allergy-friendly,served with Hush Puppies and choice of Side,Entree,ABC Commissary,fried_shrimp_fish_chicken.png,Shrimp & Fish Combo,
4336,Kids' Garden Salad with Chicken - Soy Allergy-friendly,"served with Dannon® Danimals® Smoothie, GoGo squeeZ® Applesauce and choice of Beverage",Entree,ABC Commissary,salad_garden_salad_with_chicken.png,Kids Chicken Garden Salad,Kids
4337,Baked Chicken Breast - Soy Allergy-friendly,served with Green Beans and Carrots,Entree,ABC Commissary,chicken-breast_baked.png,Baked Chicken Breast,
4339,Chicken Harbour Salad - Peanut/Tree Nut Allergy-friendly,drizzled with a Zinfandel Vinaigrette Dressing,Entree,ABC Commissary,salad_garden_salad_with_chicken.png,Chicken Harbour Salad,
4724,1/3 lb Angus Bacon Cheeseburger - Gluten/Wheat Allergy-friendly,"served on an Allergy-friendly Bun with your choice of fresh Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,burger_angus_bacon_cheeseburger.jpeg,1/3 lb Angus Bacon Cheeseburger,
4725,Vegan Burger - Gluten/Wheat Allergy-friendly,"served on an Allergy-friendly Bun with your choice of fresh Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,burger_vegan.png,Vegan Burger,
4726,Allergy-friendly Chicken Strips - Gluten/Wheat Allergy-friendly,"served with your choice of fresh Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,fried_chicken-strips.png,Chicken Strips,
4727,Chicken Club - Gluten/Wheat Allergy-friendly,"served on an Allergy-friendly Bun with Coleslaw and choice of Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,sandwich_chicken_club.jpg,Chicken Club,
4728,BBQ Ribs Platter - Gluten/Wheat Allergy-friendly,"served with Coleslaw and choice of Green Beans, Apple Slices or French Fries",Entree,Columbia Harbor House,Ribs.png,BBQ Ribs Platter,
4729,Mediterranean Salad with Chicken - Gluten/Wheat Allergy-friendly,tossed in a Mediterranean Vinaigrette and served with Hummus,Entree,Columbia Harbor House,salad_garden_salad_with_chicken.png,Chicken Mediterranean Salad,
4730,Kids' Carved Turkey Sandwich - Gluten/Wheat Allergy-friendly,"served on an Allergy-friendly Bun with Carrots, Apple Slices and choice of Beverage",Entree,Columbia Harbor House,sandwich_turkey_sandwich.png,Kids Turkey Sandwich,Kids
4731,Kids' Cheeseburger - Gluten/Wheat Allergy-friendly,"served on an Allergy-friendly Bun with Carrots, Apple Slices and choice of Beverage",Entree,Columbia Harbor House,burger_cheeseburger.jpeg,Kids Cheeseburger,Kids
4732,Kids' Allergy-friendly Chicken Strips - Gluten/Wheat Allergy-friendly,"served with Carrots, Apple Slices and choice of Beverage",Entree,Columbia Harbor House,fried_chicken-strips.png,Kids Chicken Strips,Kids
4734,Allergy-friendly Cookies - Gluten/Wheat Allergy-friendly,,Entree,Columbia Harbor House,dessert_cookies.png,Cookies,Dessert
4735,Allergy-friendly Brownie - Gluten/Wheat Allergy-friendly,,Entree,Columbia Harbor House,dessert_brownies.jpeg,Brownie,Dessert
4736,Allergy-friendly Cookies - Egg Allergy-friendly,,Entree,Columbia Harbor House,dessert_cookies.png,Cookies,Dessert
4739,Allergy-friendly Cookies - Milk Allergy-friendly,,Entree,Columbia Harbor House,dessert_cookies.png,Cookies,Dessert
4740,Allergy-friendly Cookies - Peanut/Tree Nut Allergy-friendly,,Entree,Columbia Harbor House,dessert_cookies.png,Cookies,Dessert
4742,Allergy-friendly Brownie - Peanut/Tree Nut Allergy-friendly,,Entree,Columbia Harbor House,dessert_brownies.jpeg,Brownie,Dessert
4743,1/3 lb Angus Bacon Cheeseburger - Soy Allergy-friendly,served on an Allergy-friendly Bun with your choice of fresh Green Beans or Apple Slices,Entree,Columbia Harbor House,burger_angus_bacon_cheeseburger.jpeg,1/3 lb Angus Bacon Cheeseburger,
4744,Kids' Carved Turkey Sandwich - Soy Allergy-friendly,"served on an Allergy-friendly Bun with Carrots, Apple Slices and choice of small lowfat Milk or small Dasani® Water",Entree,Columbia Harbor House,sandwich_turkey_sandwich.png,Kids Turkey Sandwich,Kids
4746,Kids' Carved Turkey Sandwich - Peanut/Tree Nut Allergy-friendly,"served with Carrots, Apple Slices and choice of small lowfat Milk or small Dasani® Water",Entree,Columbia Harbor House,sandwich_turkey_sandwich.png,Kids Turkey Sandwich,Kids
4747,Kids' Cheeseburger - Peanut/Tree Nut Allergy-friendly,"served with Carrots, Apple Slices and choice of Beverage",Entree,Columbia Harbor House,burger_cheeseburger.jpeg,Kids Cheeseburger,Kids
4748,Kids' Chicken Strips - Peanut/Tree Nut Allergy-friendly,"served with Carrots, Apple Slices and choice of Beverage",Entree,Columbia Harbor House,fried_chicken-strips.png,Kids Chicken Strips,Kids
4749,Kids' Mac & Cheese - Peanut/Tree Nut Allergy-friendly,"served with Carrots, Apple Slices and choice of Beverage",Entree,Columbia Harbor House,mac-n-cheese.png,Kids Mac & Cheese,Kids
4751,Kids' Hamburger - Milk Allergy-friendly,"served with Carrots, Apple Slices and choice of Beverage",Entree,Columbia Harbor House,burger.jpeg,Kids Hamburger,Kids
4752,Kids' Chicken Strips - Milk Allergy-friendly,"served with Carrots, Apple Slices and choice of Beverage",Entree,Columbia Harbor House,fried_chicken-strips.png,Kids Chicken Strips,Kids
4753,Kids' Smucker's® Uncrustables® Sandwich - Milk Allergy-friendly,"served with Carrots, Apple Slices and a small Dasani® Water",Entree,Columbia Harbor House,Smuckers_Uncrustables.jpg,Smuckers Uncrustables,Kids
4754,Kids' Carved Turkey Sandwich - Egg Allergy-friendly,"served with Carrots, Apple Slices and choice of Beverage",Entree,Columbia Harbor House,sandwich_chicken_club.jpg,Kids Turkey Sandwich,Kids
4755,Kids' Cheeseburger - Egg Allergy-friendly,"served with Carrots, Apple Slices and choice of Beverage",Entree,Columbia Harbor House,burger_cheeseburger.jpeg,Kids Cheeseburger,Kids
4756,Kids' Chicken Strips - Egg Allergy-friendly,"served with Carrots, Apple Slices and choice of Beverage",Entree,Columbia Harbor House,fried_chicken-strips.png,Kids Chicken Strips,Kids
4757,Kids' Smucker's® Uncrustables® Sandwich - Egg Allergy-friendly,"served with Carrots, Apple Slices and choice of small lowfat Milk or small Dasani® Water",Entree,Columbia Harbor House,Smuckers_Uncrustables.jpg,Smuckers Uncrustables,Kids
